,sentiment,post
213,0,😧 We're sorry your pizza arrived with mushrooms despite your request. Could you please get in touch vi
214,0,you're a kabute 😧
215,0,last to things i've bought from you no sweets 😧
216,0,Wish I could stay in bed all day and listen to the rain 😔
217,0,I don't want to tell fellow Comm students because i don't want them to think I'm some kind of suck-up... 😧
218,0,When will you notice me? 😧
219,0,GO AWAY 😧
220,0,ally 😧 I can't make a poem about being cute
221,0,ehh i cant DM you 😧
222,0,to beautiful ladies and so full of fun and body confidence. .. then on the s
223,0,why is italian easier than spanish 😧
224,0,i find it so difficult to says no to him 😧
225,0,It's only been 3 days and to nights since mama went back to the province but I already miss her 😧
226,0,i want to cry 😧
227,0,I 😍 got7 but god i am bored 😧
228,0,i can't continue this right now because the lighting is shitty as f i swear sorry 😔
229,0,Let's have dinneeeer please 😧
230,0,I lost one import quizzz 😧
231,0,i want to be mutuals with you so bad 😧
232,0,Keep looking for the things I bought yesterday in my dream 😧
233,0,it hurts me to see him so 😔 😧 you don't understand i have to do this. if i don't kill you
234,0,he'll kil
235,0,i hate park jisung so much 😔
236,0,When your online crush comes to the meet-up without their Snapchat filter 😧
237,0,I hate when my mom ask so you going or no? Bc then I want to stay home but i missed too much school already 😧
238,0,HAPPY BIRTHDAY KATRIKA I miss you though 😧 miss having you in our group and all haih anyway
239,0,have a blast okay. 😍 you!
240,0,I miss my dogs too 😧
241,0,YG should have sent them to MCD. I want to see them holding the trophy 😧 anyways .6
242,0,DIGITAL MONSTERS WANT TO WORK WITH BLACKPINK MAKE IT HAPPEN PLS 😧
243,0,This is so me though
244,0,i miss my boys 😧 i have started working with my own local boys but they are very nervous college friends
245,0,we were classmates for alvarez but i don't really see you around school anymore 😧
246,0,ugh i miss my baby 😆
247,0,if anyone needs me I'll be on my vent 😧
248,0,why is it so hard for you to notice me? Haay 😧
249,0,i cant deathmatch you piss off 😧
250,0,When are you going to notice yous? 😧
251,0,And I miss my bedroom too 😧
252,0,please take all the rest you needwe 😍 you so so much 😧 i hope you feel better soon sunshine!
253,0,oh
254,0,same 😧
255,0,I miss my baby 😧
256,0,it's only been a few days since their promotion ended but i'm already missing her so much 😧
257,0,i miss them 😧
258,0,i miss jihoon 😔
259,0,My only one cat yang manja sangat and now someone has took him 😧
260,0,Not tired and there's nothing to do great combo 😧
261,0,And this tweet made me cry!! 😆
262,0,back to coconut hair 😧
263,0,Please return the jacket 😧
264,0,who would you call when you are roused in midnightreminds me of the time(s) they were roommates 😧 😧 😧 YOU SUCK
265,0,I feel so bad
266,0,and all the mobbing in Australia
267,0,I just hope everything goes right from now on 😧
268,0,it's only been a few days since their promotion ended but i'm already missing her so much 😧 .1
269,0,hungry 😧 but no time to buy food
270,0,How can I set an alarm for 9am and snooze it until 12 😧
271,0,Sad story 😧
272,0,Koalas are dying of thirst and it's all because of us 😧 .2
273,0,Hey screenshot sainyo . Hmm tumagal sana us . Stay what uu are . Im always here fr uu no matter what . Luv uu so mats
274,0,Looks awesome Annette
275,0,but I can't make it 😧 Thanks for the heads up though. Please take photos!
276,0,narank 1 ako bcos of yoyou. can you please congratyoulate me even if its already late? 😧
277,0,it can't be over 😧
278,0,RELATABLE 😧
279,0,how about me 😧
280,0,Offline 😧
281,0,heeeeey notice me 😧
282,0,i want to hang out with them 😧
283,0,he was talking with the girl behind jin 😧
284,0,I need cheering up
285,0,my dog who my family have had for 18 years is being put down tomorrow 😧
286,0,Molly 1. I wish I could have her hair 😧 2. Cutest Michael girl milly on the phone 3. HAIIIIIIR and your lips 4. Friend5. Yes6. -
287,0,even me 😧 *hugs*
288,0,I'm a building a LLVM backend so
289,0,I really need to build it 😧
290,0,I can't access my school emails from any web browser 😧 Yet I have so much homework for all my subjects on there
291,0,oh 😔 😧 goodluck!
292,0,Ouch Elena Eremina's foot slip
293,0,that fall was a mess 😧
294,0,donny 😧
295,0,you're so rude 😧
296,0,oh my god same! we should attend on some lessons together sometime just kidding HAHAH
297,0,Every time Meredith has flashbacks of Derek Shepherd I can't hold back the tears 😧
298,0,Whew! Can't asses myself 😧
299,0,But I no have round ass 😆
300,0,😧 i saw somebody said his hair fell out and bighit trying to figure it out
301,0,koh
302,0,tolong bantu sampaikan keluhan ARMYs ke dong. Too many complaint here and there since day 1 of ticketing 😧
303,0,I keep waking up in the middle of the night sick as shit. 😧
304,0,I cringed so hard 😧 That fall was such a shame- she had been looking really good until that point...
305,0,man its been about 2hrs since their vlive...its nearly over for sydney ppl... 😧 goes so quick so appreciate every second!!
306,0,Hi Aled
307,0,having no mobile signal sucks 😧 What's the full postcode for where this is happening? We're keen to help SI
308,0,That sucks 😧
309,0,I'm rusty.. Haven't played this game since I was like 10. Just kept dying at that crocodile part 😆
310,0,i really really need them right now 😧
311,0,Hey guys could you help me by retweeting this? I've heard was legitimate and I really need a VPN account rig
312,0,GOD NOT THE KOALAS
313,0,Feeling bad 😧 with 89 others
314,0,And this tweet made me cry!! 😆 .1
315,0,I could write paragraphs about it 😁 Shame its theoretically impossible in real life 😧
316,0,Thank you roshhh i miss you and everyone too. 😍 youuu more
317,0,Me too sweetie I know how you feel 😧
318,0,When your online crush comes to the meet-up without their Snapchat filter 😧 .1
319,0,.the person who chose shut the fuck up: 😧
320,0,sadly yes. since he was expected to continue losing support before dropping bombs 😧 going up when expe
321,0,i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest 😧
322,0,he could be whatever
323,0,so? 😔
324,0,But the dub is what I watch for Pokemon 😧
325,0,are dying of thirst and it's all because of us 😧
326,0,Youngjae during fansign on 04/10/17 constantly massaging his back. Clearly something wrong but pretended he was not
327,0,but... you use a purple flowercrown in your display picture 😧
328,0,i still cant 😧
329,0,well that's terrible 😧
330,0,Sorry piss off /3 😧
331,0,I woke up at 4:17
332,0,I'm a joke 😧
333,0,So right! Sir Rob loves to torture us 😧
334,0,My salary reminds me of the weekends
335,0,I always know when it come but have no fucking clue how it goes 😧
336,0,i feel so sick today 😧
337,0,I wish but I can't 😔
338,0,its my birthday tomorrow baby 😧
339,0,I'm slow 😧
340,0,Super 😧
341,0,trashing others and having a possee behind you boosts your ego
342,0,but not your career. 😧
343,0,I just finished gym
344,0,had chopsuey before that 😧 laughing my ass off humble feeds are always the bomb!
345,0,Still not possible! 😧
346,0,whaaaaaaaat!!! You and 😧
347,0,You had loads of toys. All I had was a Sweep hand puppet AND the bastard lost its squeak! 😧
348,0,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca
349,0,I should do aegyo because I lost 😧
350,0,Also please send prayers and sympathy because my favorite ball dress doesn't fit my boobs 😆
351,0,I miss snsd. I miss my girls 😧
352,0,Being a parent is very challenging. If we cannot control ourselves we'll give the worst output to the children In other word
353,0,Ngomel 😆
354,0,Jonny you and your poor legs make me so 😔 😧 hope you're okay
355,0,Hope he's ok
356,0,poor mouse 😧
357,0,no its okay she survived :
358,0,Yeah! My sight reading was pretty good in high school
359,0,but I'm a bit rusty now! 😧
360,0,Me to self: don't buy that.Also me: but I'm a furry 😧
361,0,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.1
362,0,i 😍 youu so much 😧 thank you
363,0,and have fun
364,0,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.2
365,0,so upsetting the abuse these kids get 😧 3
366,0,Oo 😆 // Happy3YearsBraceUnited
367,0,exactly same in was thinking.. 😧
368,0,I'm scared 😧 I mean. Why the heck did I decide to do laundry at 7:30 pm? What is wrong with me. Did I mention how dark it is. FML
369,0,Sunnyside as well 😧
370,0,y'all want me to choke what'd I do? 😧 (
371,0,They have a whole Japan tour ahead of them.. One that will be quite brutal on their already tired bodies. Boys 😧
372,0,ahhh I'd be well chuffed
373,0,didn't even get an easter egg this year! 😧 xx
374,0,Can someone buy me a tasbih pls? I don't have one 😧
375,0,clay and hannah - they were so in 😍 they deserved to be endgame 😧
376,0,please talk to me about nct instant message lonely i need to fangirl once in a while okay 😆
377,0,this is so 😔 what the fuck 😧
378,0,Please follow me . I have been trying to get your follow for a long time 😧 .
379,0,I really enjoyed horrizion zero dawn but no idea what to play next 😧
380,0,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.3
381,0,No more good conversations here 😧
382,0,Annoyingly the spaces in the variable width version of the C64 font that's available on the internet are wi
383,0,i don't like their songs after debyout younhappy so i can syouggest yoyou jyoust one song i really 😍
384,0,it's Adore you
385,0,Jackson 😧 then Youngjae silence aww
386,0,trop retard 😔
387,0,i'd rather be sailor uranus but chibiusa but if thats everyone says i am 😧 rip
388,0,And you're right about McConnell as well. Unfortunately
389,0,we seem to have sold our government some time ago. 😧
390,0,I wish my dogs knew how much I hyped them up on snap chat 😧
391,0,some people you intensionly they don%27t even they please someone 😧
392,0,Very 😔 😧
393,0,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.4
394,0,The most painful goodbyes are the onesthat are never said and never explained 😆 😧 😒
395,0,I miss BMF 😔
396,0,you're got to disappear half way too? 😧 everybody want to being lazy eue
397,0,#NAME?.2
398,0,Oh sadly i wont watch her right now they're forbid me to see her 😧
399,0,Koalas are dying of thirst and it's all because of us 😧 .3
400,0,R.I.P cellphone 😧
401,0,and on the pic? 😧
402,0,yeah 😧
403,0,don't miss you anymore 😧
404,0,okay what TF is this colorful starbucks thing all over social media 😧
405,0,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.5
406,0,Well that's not good 😧
407,0,Oh boo
408,0,mine isn't in my inbox 😧
409,0,Didn't keep it 😧
410,0,I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. 😧
411,0,Hi Ishwar! That's not the experience we want you to have 😧 We will call you for more details and sort it out! - Roshan
412,0,We All Know 😧
413,0,I'll be as strong as I can but it's hard 😧 xxx
414,0,I lost two streaks and it's from my two favorite people silence 😧 good night
415,0,I can relate to this so so much 😧
416,0,Joy we should get him back
417,0,I can't do it all on my own. (See what I did there? )
418,0,and they'll brush it off lng telling others not applicable not applicableg-iinot applicablerte lng sila and that other had it worse than them. 😧
419,0,usually a speedboat behind any we get here on the river 😧
420,0,Omg I see why you don't drink alcohol Haha so glad your having fun all you guys ! Wish I
421,0,This happens ALL the time! 😧
422,0,0 motivation to study 😧
423,0,😊 birthday sweet sweet girl! i hope you have the best day ever! 😍 and miss you so much 😧
424,0,NMD R2's so ugly 😧
425,0,my honey 😧
426,0,philippines? 😧
427,0,I want to but I wouldn't be able to get time off for it and don't know people in my year to go with 😧
428,0,😧 friendzone. damn 😔
429,0,I cried so much
430,0,I was a mess. I went to bed feeling numb it was awful 😧
431,0,[PLEASE RT] he'll buy me a blinking taehyung headband.1
432,0,if i get 900 retweets and 900 likes. help me 😧 un.1
433,0,the email I was hoping I'd get today
434,0,didn't arrive 😧 here's hoping tomorrow it does
435,0,Haha mate its all good I 😍 a debte I just wished the center
436,0,wowwow these are all so cute 😧 i wantt
437,0,That sucks 😧 .1
438,0,instant message getting 😔 😧
439,0,wow 😧 people are so mean
440,0,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.6
441,0,talking to my over driver about where I'm goinghe said he'd 😍 to go to New York too but since Trump it's probably not.2
442,0,I 😍 them with all my hort 😧
443,0,Golly gosh. This is simply dreadful What havoc must be wreaking subsurface? Black salve won't
444,0,Autograph book at the ready
445,0,no sign of Garry Barlow yet 😔
446,0,Thank you roshhh i miss you and everyone too. 😍 youuu more .1
447,0,please meeeee you have followed me for almost to years now 😧
448,0,what happened 😧
449,0,True! Khilado kuch 😧
450,0,realized i havent eaten rice maghapon because i finished 3 packs of spicy seafood noodles + to extra big chilimansi 😧 acid attack right now
451,0,Post-show blues are hitting hard. 😧
452,0,all ready for its poster - when my computer gets
453,0,good morning 😧
454,0,Wht sort of thing (can't use word person for it)can cause such suffering to ths 😔
455,0,i want to kiss his nose and tell him i 😍 him 😔
456,0,i stayed 3 hours on the phone with aD my bubbyyyyyyy i miss her 😧
457,0,No girl 😧 that's why. Wa ropiwa 1. Sandton is unnecessarily expensive2. Try salons in Braam.
458,0,I was actually looking forward to seeing if your theory around his personal vote was correct 😧
459,0,Who to bring to MB man 😧
460,0,I am 😔 to report that the robins egg my mom found in the yard after a storm has been taken off life support. Poor thing is too frozen 😧
461,0,Her back 😧 .4
462,0,slight buzy kasi besh 😧
463,0,When you're late to work because you had to break the news to the lovely lady who cleans the house... 😆 together 😧
464,0,They stopped having them when they got rid of the toy surprises at the bottom 😧
465,0,tell me 😧 why
466,0,i cant find my striped shirt 😧 so instant message wearing the one that says what is your favorite thing? with lucas in the middle
467,0,Guys please help me retweet 😧
468,0,there's always shit like this. there's always people who are less deserving getting tickets
469,0,and winning giveaways etc 😧
470,0,truuuu!! si grim reaper and sunny huhu grabe 😍 story nila 😧
471,0,I caught a cold. 😧 It seems I've got tired than I expected....
472,0,Shameful
473,0,shameful business 😧 Stop paying giant corporations for foods you just don't need.... wake up people plea
474,0,I miss my baby 😧
475,0,HOLY SHIT! 40 pages script of the opening scene of Man Of Steel on Krypton got compressed.I wish I could at least
476,0,Late nights
477,0,I face swapped a cat with a dog and it's really upsetting 😧 .2
478,0,failed 😧 .g hehe
479,0,I miss my boo so much 😧
480,0,I need a car 😧 but no car 😧 poor me 😧
481,0,I wish i could attend it too 😧
482,0,ikr. I would have trauma if i ware him 😧
483,0,4/20 today
484,0,but it wasn't lit at all 😧
485,0,why is life so unfair? 😧
486,0,The biblical lectures are coming. More notification soon. Tomorrow
487,0,in fact.
488,0,I'm so glad I don't care what people think anymore but I wish I still looked my best everyday like I used too 😔 I just pick
489,0,MUZ U MORE
490,0,SURE NO PROB. ILABYU TOO
491,0,Such a lucky slave i wish this was me 😧
492,0,instant message still hoping 😧
493,0,fuck 😧
494,0,i tak ambik wedding package cause i is poor 😧 i ambik aromaterapi massage je hajxjsjsj. Hehe see uuuu jwa
495,0,Koalas are dying of thirst and it's all because of us 😧 .4
496,0,😧 let's fight all those kids
497,0,it's not cassandra cain. 😧 not sure i want to watch batbuffy. batwoman would have been more interesting.
498,0,Half of the time it doesn't load
499,0,the other half of the time it crashes 😧 It's embarassing when I'
500,0,right i don%27t see how people can just do shit like this
501,0,i miss hoseok 😧
502,0,Left few months in HinHua ler 😧 I need to gambateh wink
503,0,A fish killer going to be pressed younhappy I the hoe of today you were a GOOD person
504,0,She loved Beth so much 😧
505,0,prince baekhyun.....throw me into the dungeon please i don't deserve to see your beautiful face 😧
506,0,They are family. It's awful when they go. Sorry to hear. 😧
507,0,I face swapped a cat with a dog and it's really upsetting 😧 .3
508,0,my honey 😧 .1
509,0,We all do 😧 Pizza in Taiwan! Its like a swift
510,0,flavorful dream
511,0,Can't 😧 Tello
512,0,Swear I just walked past haha
513,0,didn't get a chance to say hi 😧
514,0,I miss quacktopia! 😧
515,0,are dying of thirst and it's all because of us 😧 .1
516,0,Goodnight I 😍 these beautiful boys 😧
517,0,Why no available in the U.K.? 😧
518,0,Ailes sure knew how to make a great network! Fox is going downhill wi
519,0,penge damit 😧
520,0,I'm sorry 😧
521,0,Koalas are dying of thirst and it's all because of us 😧 .5
522,0,i'm hungry 😧
523,0,Finals are next week 😧 wish me luck x
524,0,I miss Temperance Brennan and Seeley Booth so much 😧
525,0,I miss quacktopia! 😧 .1
526,0,I said D2 largely because SD D2 doesn't run on newer versions of Mac OS and I miss playing it 😧 HD woul
527,0,follow mee plss 😧
528,0,talking to my over driver about where I'm goinghe said he'd 😍 to go to New York too but since Trump it's probably not.3
529,0,Babye old twitter 😧
530,0,congratyoulations Harry!!!!! Been with you since fifa 13!!!! Miss yoyour younboxing videos 😧
531,0,can't wait to see you in that film Karl! I wished you would be here were I'm bu
532,0,Cram reading 😧
533,0,I'm job searching and got none so 😧 ButHedonism i got in abundance
534,0,it's only been a few days since their promotion ended but i'm already missing her so much 😧 .2
535,0,Hello I am getting cyber bullied by do something about it 😧
536,0,Call center nice game 4/20 😧
537,0,BES RIP
538,0,Follow me too 😧
539,0,I'll be attending cosmic latte on saturday and i'll give these out to selu shippers KASI SELU MONTH QAQO 😧
540,0,baby 😧
541,0,I only just absorbed that I'm not going to get to laugh when he gets 2000 votes. 😧 .1
542,0,friendly fire to wings tour 😧
543,0,my back hurts 😔
544,0,Typed up all the medical shorthand abbreviation we use for work
545,0,and the dame computer decides to crash 😧 now I...
546,0,excuse me i don%27t see my nama 😧
547,0,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.7
548,0,That's shocking and evil 😧
549,0,Zac farro is back By the way hehehe So 😔 Jeremy is not 😧
550,0,Maa ki kuss tumhari. Now take this bullshit you loser.
551,0,I thought mountain dew in Australia had no caffeine and it was the little energy drink cans were caffeinated I will never sleep again 😧
552,0,i hope this little beaand is andot overworkiandg himself and gettiandg at least some rest 😧 .1
553,0,base unver ajalah MINAHAES 😧
554,0,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.8
555,0,has someone contacted jelpi about the issue rn? 😧
556,0,arisun at town hall has pretty terrible service and rude staff. we only went there because ICG's fryer was broken 😧
557,0,this is damn.... theres people who sincerely want to attend BH birthday party but bcs of those people who try for fun make them ca.9
558,0,Powerpoint'te mi hazirladiniz post'u 😧
559,0,Yeah! My sight reading was pretty good in high school.1
560,0,but I'm a bit rusty now! 😧 .1
